id,station_id,latitude,longitude,elevation,name,country,region,timezone
196,71675,45.6333,-70.55,51,Montreal-Est,CA,QC,America/New_York
197,71694,45.14,-79.4,297,Beatrice,CA,ON,America/Toronto
198,71703,47.15,-67.8333,241,Saint Leonard Airport,CA,NB,America/Moncton
199,71704,43.0,-82.31,181,Sarnia,CA,ON,America/Toronto
200,71712,45.12,-74.29,49,St-Anicet 1,CA,QC,America/Toronto
201,71713,47.36,-70.03,31,La Pocatiere,CA,QC,America/Toronto
202,71714,46.8,-71.38,60,Quebec Jean Lesage International Airport,CA,QC,America/Toronto
203,71716,46.9,-71.5,168,Valcartier Airport,CA,QC,America/Toronto
204,71720,46.05,-74.2833,395,Ste Agathe Des Mont,CA,BC,America/Toronto
205,71721,46.27,-75.99,200,Maniwaki Airport,CA,QC,America/Toronto
206,71722,46.3,-76.01,189,Maniwaki Ua,CA,QC,America/Toronto
207,71723,46.23,-72.66,8,Nicolet,CA,QC,America/Toronto
208,71724,46.35,-72.52,6,Trois-Rivieres,CA,QC,America/Toronto
209,71730,46.63,-80.8,348,Sudbury Airport,CA,ON,America/Toronto
210,71731,46.36,-79.42,370,North Bay Airport,CA,ON,America/Toronto
211,71733,45.8833,-82.5667,193,"Gore Bay, Ontario",CA,ON,America/Nipigon
212,71735,47.7,-79.85,243,Earlton,CA,ON,America/Nipigon
213,71737,46.82,-74.09,430,Saint-Michel-Des-Saints,CA,QC,America/Toronto
214,71752,42.97,-79.33,178,Welland-Pelham,CA,ON,America/Toronto
215,71767,45.23,-81.63,214,Tobermory RCS,CA,ON,America/Toronto
216,71820,47.55,-79.2333,266,Barrage Angliers,CA,ON,America/Toronto
217,71D38,34.01583,-118.45139,53,Santa Monica Municipal Airport,US,CA,America/Los_Angeles
218,72004,34.37,-118.57,427,Stevenson Ranch,US,CA,America/Los_Angeles
219,72005,35.65,-112.15,1829,Valle,US,AZ,America/Phoenix
220,72011,30.7845,-98.6603,336,Llano,US,TX,America/Chicago
221,72013,41.43,-88.42,178,Saratoga,US,IL,America/Chicago
222,72014,41.02,-89.38,173,Sparland,US,IL,America/Chicago
223,72016,37.6,-81.55,544,Windom,US,WV,America/New_York
224,72017,37.1859,-88.7506,117,Metropolis / Choat,US,IL,America/Chicago
225,72019,46.4167,-86.65,187,Munsing Lakeshore,US,MI,America/Detroit
226,72034,44.6252,-86.2008,193,Frankfort / Elberta,US,MI,America/Detroit
227,72202,25.7833,-80.3167,4,Miami International Airport,US,FL,America/New_York
228,72203,26.6833,-80.1,6,Palm Beach International,US,FL,America/New_York
229,72204,28.1,-80.65,10,Melbourne International,US,FL,America/New_York
230,72205,28.41822,-81.32413,29,Orlando Airport,US,FL,America/New_York
231,72206,30.5,-81.0333,9,Jacksonville International,US,FL,America/New_York
232,72207,32.1167,-81.0333,16,Savannah Airport,US,GA,America/New_York
233,72208,32.9,-80.0333,14,Charleston Airport,US,SC,America/New_York
234,72209,31.8833,-81.5667,14,Ft. Stewart,US,GA,America/New_York
235,72210,27.7,-82.4,12,Tampa Bay Area,US,FL,America/New_York
236,72211,27.9667,-82.5333,8,Tampa International Airport,US,FL,America/New_York
237,72212,29.6333,-83.1,13,Cross City Airport,US,FL,America/New_York
238,72213,31.25,-82.4,46,Waycross / Ware County,US,GA,America/New_York
239,72214,30.4,-84.0167,25,Tallahassee Airport,US,FL,America/New_York
240,72215,33.3667,-84.5667,262,Peachtree City,US,GA,America/New_York
241,72216,31.5333,-84.2,60,Albany Southwest Georgia,US,GA,America/New_York
242,72217,32.6833,-83.15,108,Middle Georgia Regional Airport,US,GA,America/New_York
243,72218,33.3667,-81.9667,44,Augusta Bush Field,US,GA,America/New_York
244,72219,33.65,-84.1,313,Hartsfield-Jackson Atlanta,US,GA,America/New_York
245,72220,29.7167,-85.0167,6,Apalachicola Municipal Airport,US,FL,America/New_York
246,72221,30.4833,-86.5167,26,Valparaiso / Eglin Air Force Base,US,FL,America/Chicago
247,72222,30.3533,-87.318,9,Pensacola / Pleasant Grove,US,FL,America/Indiana/Tell_City
248,72223,30.6833,-88.0667,66,Mobile Regional Airport,US,AL,America/Chicago
249,72225,32.3333,-84.8333,71,Fort Benning,US,GA,America/New_York
250,72226,32.3,-86.0667,67,Montgomery Dannelly Field,US,AL,America/Chicago
251,72227,33.9167,-84.5167,326,Marietta / Dobbins Air Force Base,US,GA,America/New_York
252,72228,33.5667,-86.75,196,Birmingham Airport,US,AL,America/Chicago
253,72229,32.9,-87.25,140,Centreville,US,AL,America/Chicago
254,72230,33.1667,-86.7667,178,"Shelby Country Airport, Al.",US,AL,America/Chicago
255,72231,30.0,-90.0833,2,New Orleans Airport,US,LA,America/Chicago
256,72232,29.3333,-89.4,0,Boothville,US,LA,America/Chicago
257,72233,30.3333,-89.8167,8,Slidell,US,LA,America/Chicago
258,72234,32.3333,-88.75,91,Meridian Key Field,US,MS,America/Chicago
259,72235,32.3167,-90.0667,105,Jackson Airport,US,MS,America/Chicago
260,72239,31.05,-93.1833,101,Fort Polk,US,LA,America/Chicago
261,72240,30.2,-93.3833,5,Lake Charles Regional Airport,US,LA,America/Chicago
262,72241,30.5833,-94.1333,5,Southeast Texas Rgnl Airport,US,TX,America/Chicago
263,72242,29.2667,-94.8667,2,Scholes Field,US,TX,America/Chicago
264,72243,30.0,-95.3667,30,Houston Intercontinental,US,TX,America/Chicago
265,72244,29.6073,-95.1587,10,Houston / Olcott,US,TX,America/Chicago
266,72247,32.3833,-94.7167,111,Longview Gregg County Airport,US,TX,America/Chicago
267,72248,32.45,-93.0,79,Shreveport Regional Airport,US,LA,America/Chicago
268,72249,32.8333,-97.3,196,Fort Worth,US,TX,America/Chicago
269,72250,25.9,-97.4231,7,Brownsville/South Padre Is,US,TX,America/Chicago
270,72251,27.7667,-97.0167,13,Corpus Christi International,US,TX,America/Chicago
271,72252,27.5333,-99.45,155,"Laredo, Laredo International Airport",US,TX,America/Chicago
272,72253,29.5333,-98.4667,247,San Antonio International  Airport,US,TX,America/Chicago
273,72254,30.3167,-97.7667,201,Camp Mabry/Austin City Asos,US,TX,America/Chicago
274,72255,28.8667,-96.1,35,Victoria Regional Airport,US,TX,America/Chicago
275,72256,31.6,-97.05,157,Waco Regional Airport,US,TX,America/Chicago
276,72257,31.1333,-97.7,282,"Fort Hood, Hood Aaf Ft Hood",US,TX,America/Chicago
277,72258,32.8471,-96.8518,148,Dallas / Oldham,US,TX,America/Chicago
278,72259,32.9,-97.0333,184,Dallas/Ft. Worth International  Airport,US,TX,America/Chicago
279,72260,32.2167,-98.1833,403,"Stephenville, Clark Field Municipal Airport",US,TX,America/Chicago
280,72261,29.3667,-100.9167,304,Del Rio International  Airport,US,TX,America/Chicago
281,72262,31.8333,-104.8167,1663,Guadalupe Pass,US,TX,America/Chicago
282,72263,31.35,-100.5,584,Mathis Field,US,TX,America/Chicago
283,72264,30.3667,-104.0167,1478,Marfa,US,TX,America/Chicago
284,72265,31.9333,-102.2,875,Midland International Airport,US,TX,America/Chicago
285,72266,32.4167,-99.6833,546,Abilene Regional Airport,US,TX,America/Chicago
286,72267,33.6667,-101.8167,1000,Lubbock International Airport,US,TX,America/Chicago
287,72268,33.3,-104.5333,1118,Roswell Industrial Air Centr,US,NM,America/Denver
288,72269,32.3833,-106.4833,1244,White Sands,US,NM,America/Denver
289,72270,31.8167,-106.3833,1206,El Paso International Airport,US,TX,America/Denver
290,72271,33.2333,-107.2667,1478,Truth Or Consequences Muni,US,NM,America/Denver
291,72272,32.6333,-108.15,1659,Silver City / Grant,US,NM,America/Denver
292,72273,47.6333,-110.3333,1438,"Fort Huachuca, Libby Aaf Ft Huachuca",US,AZ,America/Phoenix
293,72274,32.1333,-110.95,805,Tucson International Airport,US,AZ,America/Phoenix
294,72276,35.65,-109.0667,2054,Window Rock Airport,US,AZ,America/Shiprock
295,72278,33.4333,-112.05,345,Phoenix Sky Harbor Airport,US,AZ,America/Phoenix
296,72280,32.65,-114.6,65,Yuma / Yuma International,US,AZ,America/Phoenix
297,72281,32.8167,-115.65,-13,"El Centro, Naval Air Facility",US,CA,America/Los_Angeles
298,72282,37.6167,-116.25,1756,"Las Vegas, Tonopah Range #74 Nellis Afb",US,NV,America/Los_Angeles
299,72286,33.9,-117.25,469,Riverside / March Air Force Base,US,CA,America/Los_Angeles
300,72288,34.2,-118.3667,236,Burbank-Glendale-Pasadena,US,CA,America/Los_Angeles
301,72289,34.2333,-118.0667,1739,Mount Wilson,US,CA,America/Los_Angeles
302,72290,32.7333,-117.1833,5,San Diego International Airport,US,CA,America/Los_Angeles
303,72291,33.2333,-119.4667,154,San Nicolas Island,US,CA,America/Los_Angeles
304,72292,33.4,-118.4167,488,Avalon Catalina Airport,US,CA,America/Los_Angeles
305,72293,32.8667,-117.15,146,MCAS Miramar,US,CA,America/Los_Angeles
306,72295,33.9333,-118.3833,38,Los Angeles Airport,US,CA,America/Los_Angeles
307,72297,33.8167,-118.15,17,Long Beach Airport,US,CA,America/Los_Angeles
308,72301,35.7411,-81.3895,363,Hickory / Longview,US,NC,America/New_York
309,72302,34.2706,-77.9026,10,Wilmington / The Palms Mobile Home Park,US,NC,America/New_York
310,72303,35.1667,-79.0333,61,Pope Air Force Base,US,NC,America/New_York
311,72304,35.2667,-75.55,2,Cape Hatteras,US,NC,America/New_York
312,72305,34.7833,-76.8833,11,Newport,US,NC,America/New_York
313,72306,35.9,-78.7667,133,Raleigh-Durham International  Airport,US,NC,America/New_York
314,72307,36.2606,-76.1746,3,Elizabeth City / Hickory Village - Mobile Home Park,US,NC,America/New_York
315,72308,36.9,-76.2,8,Norfolk International Airport,US,VA,America/New_York
316,72309,34.8833,-76.8667,8,"Cherry Point, Marine Corps Air Station",US,NC,America/New_York
317,72310,33.95,-81.1167,72,Columbia Metropolitan Airport,US,SC,America/New_York
318,72311,33.95,-83.3333,246,Athens Ben Epps Airport,US,GA,America/New_York
319,72312,34.8833,-82.05,296,Greer Greenville Spartburg,US,SC,America/New_York
320,72314,35.214,-80.9431,228,Charlotte/Douglas International Airport,US,NC,America/New_York
321,72315,35.4333,-82.0333,660,Asheville Regional Airport,US,NC,America/New_York
322,72316,31.5361,-82.5066,61,Alma / Guysie,US,GA,America/New_York
323,72317,36.1,-79.95,282,Piedmont Triad International  Airport,US,NC,America/New_York
324,72319,34.4946,-82.7094,238,Anderson / Greenbriar,US,SC,America/New_York
325,72320,34.35,-85.1667,195,Rome R. B. Russell Airport,US,GA,America/New_York
326,72323,34.65,-86.7833,192,Huntsville International  Jones Field,US,AL,America/Chicago
327,72324,35.0333,-85.2,208,Lovell Field,US,TN,America/New_York
328,72325,35.9513,-85.085,573,Crossville / Howard Springs,US,TN,America/Chicago
329,72326,35.8167,-83.9833,299,McGhee Tyson Airport,US,TN,America/New_York
330,72327,36.1167,-86.6833,183,Nashville Airport,US,TN,America/Chicago
331,72328,36.6219,-87.415,168,Clarksville Outlaw Fld / Pembrook Place,US,TN,America/Chicago
332,72330,36.7667,-90.4667,146,Poplar Bluff / Green Forest,US,MO,America/Chicago
333,72332,34.2667,-88.1,105,Tupelo Regional Airport,US,MS,America/Chicago
334,72334,35.0333,-89.9833,102,Memphis International Airport,US,TN,America/Chicago
335,72335,36.4752,-82.4074,463,Bristol / Holston,US,TN,America/New_York
336,72340,34.8333,-92.25,165,"North Little Rock, North Little Rock Airport",US,AR,America/Chicago
337,72342,35.25,-93.1,123,Russelville Municipal Airport,US,AR,America/Chicago
338,72344,35.3333,-94.0333,143,Fort Smith Regional Airport,US,AR,America/Chicago
339,72345,36.2615,-93.1547,416,Harrison / Francis,US,AR,America/Chicago
340,72348,36.7333,-91.85,307,"West Plains, Mo",US,MO,America/Chicago
341,72349,36.8833,-93.9,437,Monette Mo.,US,MO,America/Chicago
342,72351,33.9833,-98.4928,309,Wichita Falls Sheppard Afb,US,TX,America/Chicago
343,72352,34.65,-99.2667,420,Altus Air Force Base,US,OK,America/Chicago
344,72353,35.3886,-97.6003,398,Will Rogers World Airport,US,OK,America/Chicago
345,72354,35.4167,-97.3833,394,Tinker Air Force Base,US,OK,America/Chicago
